# Backward Difference
Function                       h           Exact          Approx           Error
e^x               1.00000000e-01  2.71828183e+00  2.58678717e+00  1.31494655e-01
e^x               1.00000000e-02  2.71828183e+00  2.70473561e+00  1.35462175e-02
e^x               1.00000000e-03  2.71828183e+00  2.71692314e+00  1.35868798e-03
e^x               1.00000000e-04  2.71828183e+00  2.71814592e+00  1.35909563e-04
sin(x)            1.00000000e-01  5.40302306e-01  5.81440752e-01  4.11384459e-02
sin(x)            1.00000000e-02  5.40302306e-01  5.44500621e-01  4.19831487e-03
sin(x)            1.00000000e-03  5.40302306e-01  5.40722951e-01  4.20645407e-04
sin(x)            1.00000000e-04  5.40302306e-01  5.40344379e-01  4.20726487e-05
cos(x)            1.00000000e-01 -8.41470985e-01 -8.13076624e-01  2.83943608e-02
cos(x)            1.00000000e-02 -8.41470985e-01 -8.38755471e-01  2.71551346e-03
cos(x)            1.00000000e-03 -8.41470985e-01 -8.41200693e-01  2.70291376e-04
cos(x)            1.00000000e-04 -8.41470985e-01 -8.41443968e-01  2.70165188e-05
x^3-2x+1          1.00000000e-01  1.00000000e+00  7.10000000e-01  2.90000000e-01
x^3-2x+1          1.00000000e-02  1.00000000e+00  9.70100000e-01  2.99000000e-02
x^3-2x+1          1.00000000e-03  1.00000000e+00  9.97001000e-01  2.99900000e-03
x^3-2x+1          1.00000000e-04  1.00000000e+00  9.99700010e-01  2.99990000e-04
