# Central Difference
Function                       h           Exact          Approx           Error
e^x               1.00000000e-01  2.71828183e+00  2.72281456e+00  4.53273549e-03
e^x               1.00000000e-02  2.71828183e+00  2.71832713e+00  4.53049237e-05
e^x               1.00000000e-03  2.71828183e+00  2.71828228e+00  4.53046679e-07
e^x               1.00000000e-04  2.71828183e+00  2.71828183e+00  4.53056570e-09
sin(x)            1.00000000e-01  5.40302306e-01  5.39402252e-01  9.00053698e-04
sin(x)            1.00000000e-02  5.40302306e-01  5.40293301e-01  9.00499341e-06
sin(x)            1.00000000e-03  5.40302306e-01  5.40302216e-01  9.00503947e-08
sin(x)            1.00000000e-04  5.40302306e-01  5.40302305e-01  9.00429509e-10
cos(x)            1.00000000e-01 -8.41470985e-01 -8.40069234e-01  1.40175058e-03
cos(x)            1.00000000e-02 -8.41470985e-01 -8.41456960e-01  1.40244463e-05
cos(x)            1.00000000e-03 -8.41470985e-01 -8.41470845e-01  1.40245188e-07
cos(x)            1.00000000e-04 -8.41470985e-01 -8.41470983e-01  1.40252854e-09
x^3-2x+1          1.00000000e-01  1.00000000e+00  1.01000000e+00  1.00000000e-02
x^3-2x+1          1.00000000e-02  1.00000000e+00  1.00010000e+00  1.00000000e-04
x^3-2x+1          1.00000000e-03  1.00000000e+00  1.00000100e+00  9.99999917e-07
x^3-2x+1          1.00000000e-04  1.00000000e+00  1.00000001e+00  9.99966865e-09
