# Forward Difference
Function                       h           Exact          Approx           Error
e^x               1.00000000e-01  2.71828183e+00  2.85884195e+00  1.40560126e-01
e^x               1.00000000e-02  2.71828183e+00  2.73191866e+00  1.36368273e-02
e^x               1.00000000e-03  2.71828183e+00  2.71964142e+00  1.35959407e-03
e^x               1.00000000e-04  2.71828183e+00  2.71841775e+00  1.35918624e-04
sin(x)            1.00000000e-01  5.40302306e-01  4.97363753e-01  4.29385533e-02
sin(x)            1.00000000e-02  5.40302306e-01  5.36085981e-01  4.21632486e-03
sin(x)            1.00000000e-03  5.40302306e-01  5.39881480e-01  4.20825508e-04
sin(x)            1.00000000e-04  5.40302306e-01  5.40260231e-01  4.20744495e-05
cos(x)            1.00000000e-01 -8.41470985e-01 -8.67061844e-01  2.55908596e-02
cos(x)            1.00000000e-02 -8.41470985e-01 -8.44158449e-01  2.68746457e-03
cos(x)            1.00000000e-03 -8.41470985e-01 -8.41740996e-01  2.70010885e-04
cos(x)            1.00000000e-04 -8.41470985e-01 -8.41497999e-01  2.70137137e-05
x^3-2x+1          1.00000000e-01  1.00000000e+00  1.31000000e+00  3.10000000e-01
x^3-2x+1          1.00000000e-02  1.00000000e+00  1.03010000e+00  3.01000000e-02
x^3-2x+1          1.00000000e-03  1.00000000e+00  1.00300100e+00  3.00100000e-03
x^3-2x+1          1.00000000e-04  1.00000000e+00  1.00030001e+00  3.00009999e-04
