# Richardson Extrapolation
Function                       h           Exact          Approx           Error
e^x               1.00000000e-01  2.71828183e+00  2.71828126e+00  5.66477279e-07
e^x               1.00000000e-02  2.71828183e+00  2.71828183e+00  5.66910963e-11
e^x               1.00000000e-03  2.71828183e+00  2.71828183e+00  4.02344824e-13
e^x               1.00000000e-04  2.71828183e+00  2.71828183e+00  8.55759907e-13
sin(x)            1.00000000e-01  5.40302306e-01  5.40302193e-01  1.12529484e-07
sin(x)            1.00000000e-02  5.40302306e-01  5.40302306e-01  1.12759801e-11
sin(x)            1.00000000e-03  5.40302306e-01  5.40302306e-01  1.68753900e-14
sin(x)            1.00000000e-04  5.40302306e-01  5.40302306e-01  1.07158726e-12
cos(x)            1.00000000e-01 -8.41470985e-01 -8.41470810e-01  1.75254287e-07
cos(x)            1.00000000e-02 -8.41470985e-01 -8.41470985e-01  1.75418569e-11
cos(x)            1.00000000e-03 -8.41470985e-01 -8.41470985e-01  1.13353771e-13
cos(x)            1.00000000e-04 -8.41470985e-01 -8.41470985e-01  1.53355106e-12
x^3-2x+1          1.00000000e-01  1.00000000e+00  1.00000000e+00  7.77156117e-16
x^3-2x+1          1.00000000e-02  1.00000000e+00  1.00000000e+00  2.30926389e-14
x^3-2x+1          1.00000000e-03  1.00000000e+00  1.00000000e+00  2.39697151e-13
x^3-2x+1          1.00000000e-04  1.00000000e+00  1.00000000e+00  2.60014232e-13
